,label,tweet,clean_teks
46,0,Nggak ngerti lagi sama ciwi-ciwi yang nyinyirin Via Vallen ini. Dia itu korban loh. Sesusah itukah untuk saling support satu sama lain gurlzz?,ngerti ciwiciwi nyinyirin via vallen korban loh susah support gurlzz
47,0,"hari ini libur, rencananya mau nonton Jurassic World, tapi kayanya gajadi deh mengingat kondisi yg gak fit bgt ini sebel. Rusak rencana sebelanga.. sebel akutu",libur rencana nonton jurassic dunia kayak deh kondisi fit kesal rusak rencana belanga kesal
48,0,"Nah ini, yg nunggu anak anteng dengan kesabaran seluas samudra trus bapaknya dateng2 bikin anak nangis. Hmmm kuingin marah melampiaskan",nunggu anak anteng sabar luas samudra bapak bikin anak nang hmmm ingin marah lampias
49,3,"Ku rindu bisik mu di telingaku Seraya kau berkata ""semoga kelak kau menjadi anak yg berguna bagi banyak orang dan semoga kau selalu menyayangi kami orang tua mu"".",ku rindu bisik mu telinga seraya moga kelak anak guna orang moga sayang orang tua mu
50,0,ini hasil sekolah asal sekolah ... mikirlah Mahkamah Internasional itu punya kewenangan mengadili perkara genosida dsbnya ...,hasil sekolah sekolah mikirlah mahkamah internasional wenang adil perkara genosida dsbnya
51,0,"Lah elu yang harusnya ditanya teh, kenapa bisa berasumsi guw mah kacang tanpa kulit, maksudnya apa hayo? Ke sana juga kan maksud loooo",teh asumsi guw mah kacang kulit maksud hayo maksud loooo
52,0,"web permata krg profesional. Ada program cashback 10rb token pln, waktu di klik info, masuknya ke program paket kuota data. Piye iki?",situs permata profesional program cashback ribu token pln klik informasi masuk program paket kuota data
53,1,"Nah.... Yg saya takutkan itu mas. Nanti di tumpangi politik dibalut agama. Itu yg bahaya, soale masyarakat kita sedang sensitif dgn hal tersebut.",takut mas tumpang politik balut agama bahaya masyarakat sensitif
54,4,"mau cerita kesiapa kalau udah kayak begini? hancur hidup ini pikirin dong gimana hati ku aku sedih, aku nangis sampai menetes air mata ini kayaknya lirik lagu sayang pia palen deh wkwkw",cerita siapa hancur hidup pikirin hati ku sedih nang tetes air mata kayak lirik lagu sayang pia palen deh wkwkw
55,4,"Setelah 20hari puasa dan saur gak pernah kesiangan, akhirnya di hari ke21 ngerasain makan saur supeerrr dupeerr ekspress, 1menit sebelum imsak baru bangun yassalaaam",puasa saur siang rasa makan saur supeerrr dupeerr ekspress menit imsak bangun yassalaaam
56,1,"Jdi ada thr tapi dri APBD. Yang punya kuasa takut, kalau kalau di garis bawahi sama kpk. Dan jadilah mereka ggl dpt thr tahun ini. Kok bisa gitu ya. Buk mentri bilang aman. Yang lain ketakutan.",thr apbd kuasa takut garis bawah kpk ggl thr ya buk tri bilang aman takut
57,0,tolong bantu saya [USERNAME] Kenapa ya lptop saya sudah 2 kali kok gabisa buka dokumen pasti not responding.pdhal sudah pernah dibawa ke hp center smg . Apakah lptop saya termasuk produk gagal atau gimana.beli 11 maret 2018 . Dan kalo gini trs kan jd jgkel sndri.,tolong bantu ya lptop kali buka dokumen not respondingpdhal bawa hp center moga lptop produk gagal gimanabeli maret jgkel
58,0,ini udah masuk ke proses penjualan... Tapi pas dibuka detail ko malah gini? Apakah produk sedang diproses atau diproses tgl 11?,masuk proses jual pas buka detail ko produk proses proses tanggal
59,0,[USERNAME] Semen indonesia belum nambang loh di Rembang...malah ada perusahaan yg lokasi hanya 200 meter dr areal tambang semen tidak pernah diprotes dan ini sudah bertahun2 lamanya...knp kok pas semen diprotes?,semen indonesia nambang loh rembangmalah usaha lokasi meter areal tambang semen protes tahun lamanyaknp pas semen protes
60,0,SIAPA YG BILANG PUNYA ANAK MENYENANGKAN TEROS *sodorin anak yg tantrum karna ngantuk tp gak mau bobo* *istigfar kenceng2*,bilang anak senang sodorin anak tantrum ngantuk tidur istigfar cepat
61,4,"Merasa oon ketika tahu sesuatu dan tidak boleh di bicarakan ke orang lain, nah kelalaian malah sebaliknya, jadi malah merubah siklus dan alur waktu yang seharusnya itu terjadi",oon bicara orang lalai rubah siklus alur
62,0,"Punya sahabat cowo 2 nih, tapi sering nya ga konsisten terus sering bohong lagi. Kenapa sih? Udah berkali2 dimarahin karna sering bohong tapi ga mempan2 juga. Apa kodratnya suka bohong apa gimana?",sahabat cowok nih nya konsisten bohong sih kali dimarahin bohong mempan kodrat suka bohong
63,2,"Kalau tau ada libur panjang - selain lebaran - tuh rasanya pengen cepet gendong cerrier pake sepatu trus pergi, ketemu alam dan berdamai dengannya,",libur lebaran tuh cepat gendong cerrier pakai sepatu pergi ketemu alam damai dengan
64,0,Siapa bilang kafir gabung sama khilafah bro jgn alihkan isu anda itu siapa penyelundup dari kaum bumidatar se-olah2 pro Pancasila [USERNAME] [URL],bilang kafir gabung khilafah bro alih isu selundup kaum bumidatar pro pancasila url
65,2,"btw doa restu orang tua itu emang gilingan ya... pas udah mentok nyari literatur tambahan, nemu aja dong di RUMAH. padahal dari kemarin udah panik kudu mesen dari banyumas  apakah ini berkah ramadan [URL]",bicara bicara doa restu orang tua giling ya pas mentok cari literatur tambah temu rumah kemarin panik kudu pesan banyumas berkah ramadan url
66,0,Salah satu contoh tidak tau berterima kasih... pdhl datang pas sdh terkenal pi wannaone... ckckckc yg dl berjuang siapa? Jawab sendiri ma ko deh Wanna One's Swing Entertainment warns legal action against fansite masters [URL] via [USERNAME],salah contoh terima kasih pas kenal pi wannaone ckckckc juang ko deh wanna ones swing entertainment warns legal aksi against fansite masters url via
67,1,"Dri pgi ngerasain sakit perut kirain mau haid, udh beli kiranti pas di cek malah kaga ada,  plis atulah haid skrg aja, biar bisa ikut solat ied ",pagi rasa sakit perut kirain haid beli kiranti pas cek mohon atulah haid biar salat ied
68,4, Turut berduka cita buat kawan a cak. Semoga. Keluarga yg di tinggalkan a. Bisa di beri kesabaran &amp meridoi kepergian alm.. #sajete #wani,duka cita kawan a cak moga keluarga tinggal a sabar amp meridoi pergi alm sajete wani
69,0,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya? #kecewa,jaring mati ya buka mobile jkn puskesmes tunjuk kartu elektoniknya kecewa
70,0," lo belum lahir atau belom sekolah bong saya rasa.... Atau bapak lo pki bong Bandit , rampok atau sejenis yg menganggu orang banyak? Pak Soeharto dibilang kejam hanya oleh orang2 Pki Bandit Rampok Bong bong bongakkk [URL]",lahir sekolah bong pki bong bandit rampok jenis menganggu orang soeharto bilang kejam orang pki bandit rampok bong bong bongakkk url
71,0,bagi yang dulunya usaha terus skrg jd karyawan macam gue pasti bawaannye pgn usaha lagi . ga ada yang ngatur .flexible. lbh banyak duit. faaak,dulunya usaha karyawan bawaannye usaha atur flexible duit faaak
72,4,Salah satu efek merapi sama bom bagi orang yang mau bikin event. Negara lain takut ke Jogja dan Indonesia karena. Jadi aku lagi ada event internasional dan beberapa negara belum konfirmasi karena takut sama merapi sama teror juga. Moga merapi lekas reda :) moga ngga ada bom lagi.,salah efek rapi bom orang bikin acara negara takut jogja indonesia acara internasional negara konfirmasi takut rapi teror moga rapi lekas reda moga bom
73,0,Baiknya Gubernur Anies Baswedan dimosi tdk percaya biar lengser [USERNAME] ! [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [URL],baik gubernur anies baswedan mosi percaya biar lengser url
74,0,Kaum oposisi tidak bikin geger-an di media termsk medsos ketika Rupiah menguat.... Musim ribut-nya khusus wkt terjadi pelemahan saja... dg menyalahkan semuanya kpd Presiden [USERNAME] ....  [URL],kaum oposisi bikin geger media termsk medsos rupiah kuat musim ribut khusus lemah salah presiden url
75,4,"Lagi puasa tp dri pagi udah kesana kemari mmbawa alamat,, eh ayuting2 kalee.. enggk ding. Ini knpa siang2 tetangga sbelah goreng telur yah, kan baunya smpe idung gw hikss piye sih mbak?",puasa pagi kesana kemari mmbawa alamat eh ayuting kali ding siang tetangga belah goreng telur yah bau hidung hikss sih mbak
76,0,[USERNAME] Heee aku kemarin ngeliat hoak tetang pohon plastik pertama kali dr akun anda ygdisebarkan lewat fb .... ini bukan saja nol besar tp skaligus nonjok muka junjungan sdr ... terima kasih,heee kemarin hoak tetang pohon plastik kali akun ygdisebarkan facebook nol nonjok muka junjung sdr terima kasih
77,0,"[USERNAME] Min ini gimana? Kurirnya salah kirim, malah ke alamat orang. Trs pertanggung jawabannya gimana? Tolong respon secepatnya. Thanks. [URL]",min kurir salah kirim alamat orang tanggung jawab tolong respon cepat terimakasih url
78,1,Ini pas banget! Gue habis baca buku ada bule PDKT bilang cariin rumah sama.mobil. dicariin mobil sama rumah mewah si bule Ok dan niat kirim uang sekitar $100jt tp pake pos. Bilang sama hadiah lain. Tp gak masuk akal kirim yang sebanyak itu pake pos [URL],pas habis baca buku bule pdkt bilang cariin rumah samamobil dicariin mobil rumah mewah si bule oke niat kirim uang jt pakai pos bilang hadiah masuk akal kirim pakai pos url
79,0,[USERNAME] [USERNAME] [USERNAME] [USERNAME] Masalahnya itu uang buat konsumsi buka puasa bareng anak yatim yang harus dibayarkan ke katering ..,uang konsumsi buka puasa bareng anak yatim bayar katering
80,4,Niat ke masjid sholat nya di lantai 2 berharap bisa obob manjah krn biasanya ga banyak yg solat disini. Fact: Fullhouse mpe shaf belakang. Bhay!,niat masjid sholat nya lantai harap obob manjah salat fakta fullhouse shaf selamat tinggal
81,2,"Paling excited kalo ngobrol sama orang kreatif, siap saja kalo bakal tercengang sama ide mereka yang mungkin belum pernah terpikirkan olehmu: ""Oh iya, kenapa aku baru kepikiran?""  ",excited bicara orang kreatif cengang ide pikir oleh oh iya pikir
82,0,"Miris : Menciptakan 'karya' dengan susah payah yang menguras pikiran,tenaga,waktu dan materi,... KALAH oleh oknum yg menjiplak dan/atau sekedar terima beres memanfaatkan karya orang lain dengan gimmik dan sensasi. Gimana menurut [USERNAME] ??",miris cipta karya susah payah uras pikirantenagawaktu materi kalah oknum jiplak danatau dar terima beres manfaat karya orang gimmik sensasi
83,0,"Sebelah mana stereotyping-nya dari pernyataan saya? Coba ditunjukkan, siapa tahu saya salah bicara. Bagus dong kalau banyak yang mengecam. Semakin banyak makin terdengar suara untuk kebenaran, semakin bagus. Kalau benar tapi kalah keras sama yang salah, itu yang harus diatasi. [URL]",belah stereotypingnya nyata coba salah bicara bagus kecam dengar suara benar bagus kalah keras salah atas url
84,0,Tipikal cowo menye menye bgt ni. Paling ngga bisa diajak argumen. Menyalahkan orang dan mengeluh terus ni manusia maha sempurna. Pen ngatain goblok tapi puasa.,tipikal cowok menye menye ajak argumen salah orang keluh manusia maha sempurna pen goblok puasa
85,2,Tiada henti 2ny q mengucap syukut alhmdllh.... Skrg aku bsa.... Uang jadi panitia kmrn alhmdllh trmkah kau bri brlmpah.... Mski tak sbrpa inysllh lma2 mmbukit amn [URL],tiada henti ny ucap syukut alhmdllh uang panitia kemarin alhmdllh trmkah bri brlmpah sbrpa inysllh mmbukit amn url
86,0,"Kamu mau ngomong apa.Kayaknya kamu dendam kpd Anies.Pernah disakiti olh gub Anies?Salah apa Anies kpdmu?.Knp dendam?Kamu klmpok DKI42% yg tdk puny gub,Anies bukan [URL] pada tempatnya kamu maki2 Anies.Salah. [URL]",bicara apakayaknya dendam aniespernah sakit olh gub aniessalah anies kpdmuknp dendamkamu kelompok dki gubanies url tempat maki aniessalah url
87,4,Ketika di group keluarga udah pada ngomongin mudik. Duuh pengen mudik. Tapi apa daya suami libur cuma 4 hari dr hari H lebaran. Itu juga kalo g di telpon disuruh masuk. 2 tahun lalu malah habis sholat eid lgsg kerja ,group keluarga bicara mudik duuh mudik daya suami libur h lebaran telepon suruh masuk habis sholat eid langsung kerja
88,4,Orang yg pernah kalah dalam pertarungan POLITIK sulit untuk bisa disembuhkan Karena mereka tdk bs meraih impian dan sdh kehilangan banyak Harta.,orang kalah tarung politik sulit sembuh raih impi hilang harta
89,4,"Nggada sinyal di rumah, membuatku banyak berfikir, berfikir doank tapi, pikiran ke mana mana, random.. Tapi pasti ada dia :(",nggada sinyal rumah buat berfikir berfikir pikir random
90,1,"Ada khabar kasus tuduhan chat mesum terhadap Imam Besar Habib Rizieq sdh dihentikan, mohon bantu doa semoga benar adanya. Semoga kesucian Ramadhan membuka mata hati bapak2 kita yg menyidik.amin",kabar tuduh chat mesum imam habib rizieq henti mohon bantu doa moga moga suci ramadhan buka mata hati menyidikamin
91,1,"Jangan ngecengin gua lagi ya gaes [USERNAME] [USERNAME] [USERNAME], orang ini udah ada blog-nya juga.. ..ya walaupun nulisnya nggak jam 2 dinihari sih.",ngecengin ya gaes orang blog ya nulisnya jam dinihari sih
92,0,Cari orang2 yg selalu menyudutkan Ansor. Sabar itu bagus tp kalau terus menerus difitnah disalahkan jangan tinggal diam Saatnya,cari orang sudut ansor sabar bagus terus fitnah salah tinggal diam
93,3,"halohaa selamat siang Denise Udah pulang sekolah belum nih ? Jangan lupa makan siang ya, oh iya gimana udah sehatan kan kamu ? Kalo emang masih kurang sehat ya banyakin istirahat aja sekarang"" Kk selalu nunggu kok tweet"" dari k",halohaa selamat siang denise pulang sekolah nih lupa makan siang ya oh iya sehat sehat ya banyak istirahat kakak nunggu tweet k
94,0,"Itu lah bodoh mu bong.. disuruh baca, tidak mau baca... PBB CIKAL BAKALNYA DARI MASYUMI , PBB =KELUARGA BESAR BULAN BINTANG = MASYUMI dasar bong200",bodoh mu bong suruh baca baca pbb cikal bakal masyumi pbb keluarga bintang masyumi dasar bong
95,1,Mudah2an sudah terupload smua sebelum z mudik Karna fans modal quota pun butuh daerah dengan jaringan yang bagus.. hiksss Hitungan jam juga br slsi kalo z mo donlot ini di rumahku pi ,mudah terupload z mudik fans modal quota butuh daerah jaring bagus hiksss hitung jam br slsi z unduh rumah pi
